Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
1905,898,0.30,11.50,46,5,7,4,41,0.00,0.00,1.0000,4.48,0.99,0.00,-4.52,3.14,5.22
1983,888,0.28,12.50,46,5,7,4,41,0.00,0.00,1.0000,4.18,1.00,0.00,-4.52,3.14,5.29
2062,892,0.29,12.50,46,5,7,4,41,0.00,0.00,1.0000,4.34,1.00,0.00,-4.52,3.14,5.29
2139,906,0.28,14.00,46,5,7,4,41,0.00,0.00,1.0000,4.31,1.00,0.00,-4.54,3.14,5.30
2218,903,0.28,15.00,46,5,7,4,41,0.00,0.00,1.0000,4.23,1.00,0.00,-4.54,3.14,5.33
2296,906,0.28,15.00,46,5,7,4,41,0.00,0.00,1.0000,4.20,1.00,0.00,-4.54,3.14,5.36
2374,896,0.29,15.00,46,5,7,4,41,0.00,0.00,1.0000,4.13,1.00,0.00,-4.54,3.14,5.44
2452,901,0.28,15.50,46,5,7,4,41,0.00,0.00,1.0000,4.21,1.00,0.00,-4.54,3.14,5.47
2531,900,0.28,16.00,46,5,7,4,41,0.00,0.00,1.0000,4.23,1.00,0.00,-4.54,3.14,5.50
2608,898,0.26,16.50,46,5,7,4,41,0.00,0.00,1.0000,4.15,1.00,0.00,-4.54,3.14,5.52
2702,899,0.27,16.50,46,5,7,4,41,0.00,0.00,1.0000,4.05,1.00,0.00,-4.52,3.14,5.58
2780,880,0.28,17.00,46,5,7,4,41,0.00,0.00,1.0000,4.07,1.00,0.00,-4.51,3.14,5.61
2859,874,0.28,17.50,46,5,7,4,41,0.00,0.00,1.0000,4.10,1.00,0.00,-4.49,3.14,5.62
2905,871,0.27,17.00,46,5,7,4,41,0.00,0.00,1.0000,4.02,1.00,0.00,-4.47,2.75,5.64
3014,870,0.28,17.50,46,5,7,4,41,0.00,0.00,1.0000,4.00,1.00,0.00,-4.47,2.75,5.69
3093,870,0.27,18.50,46,5,7,4,41,0.00,0.00,1.0000,3.89,1.00,0.00,-4.45,2.75,5.70
3171,864,0.28,18.50,46,5,7,4,41,0.00,0.00,1.0000,3.95,1.00,0.00,-4.45,2.75,5.69
3249,862,0.28,18.50,46,5,7,4,41,0.00,0.00,1.0000,4.00,1.00,0.00,-4.45,2.75,5.70
3327,848,0.28,18.00,46,5,7,4,41,0.00,0.00,1.0000,4.05,1.00,0.00,-4.45,2.75,5.72
3405,840,0.28,18.50,46,5,7,4,41,0.00,0.00,1.0000,3.97,1.00,0.00,-4.43,2.75,5.74
3484,830,0.28,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.92,1.00,0.00,-4.39,2.75,5.77
3561,822,0.28,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.82,1.00,0.00,-4.37,2.75,5.79
3639,815,0.28,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.79,1.00,0.00,-4.35,2.75,5.81
3733,811,0.28,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.72,1.00,0.00,-4.33,2.75,5.78
3811,804,0.28,19.50,46,5,7,4,41,0.00,0.00,1.0000,3.77,1.00,0.00,-4.33,2.75,5.78
3894,799,0.28,19.50,46,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.31,2.75,5.78
3968,790,0.29,19.50,46,5,7,4,41,0.00,0.00,1.0000,3.69,0.99,0.00,-4.29,2.75,5.76
4046,783,0.29,19.50,46,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.29,2.75,5.72
4124,778,0.29,19.50,46,5,7,4,41,0.00,0.00,1.0000,3.74,0.99,0.00,-4.29,2.75,5.70
4186,775,0.29,19.50,46,5,7,4,41,0.00,0.00,1.0000,3.67,0.99,0.00,-4.29,2.75,5.70
4280,770,0.28,19.50,46,5,7,4,41,0.00,0.00,1.0000,3.52,0.99,0.00,-4.29,2.35,5.68
4358,768,0.27,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.48,0.99,0.00,-4.29,2.35,5.65
4436,766,0.28,16.00,46,5,7,4,41,0.00,0.00,1.0000,3.55,0.99,0.00,-4.29,2.35,5.65
4515,754,0.29,17.00,46,5,7,4,41,0.00,0.00,1.0000,3.55,0.99,0.00,-4.29,2.35,5.64
4608,746,0.28,18.00,46,5,7,4,41,0.00,0.00,1.0000,3.48,0.99,0.00,-4.29,2.35,5.62
4655,736,0.30,18.50,46,5,7,4,41,0.00,0.00,1.0000,3.59,0.99,0.00,-4.29,2.35,5.58
4765,730,0.29,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.48,0.99,0.00,-4.29,2.35,5.54
4843,723,0.30,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.52,0.99,0.00,-4.29,2.35,5.53
4889,717,0.29,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.50,0.99,0.00,-4.29,2.35,5.49
5000,714,0.30,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.55,0.99,0.00,-4.29,2.35,5.43
5077,715,0.29,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.47,0.99,0.00,-4.29,2.35,5.43
5155,706,0.30,19.50,46,5,7,4,41,0.00,0.00,1.0000,3.50,0.99,0.00,-4.29,2.75,5.40
5233,704,0.30,19.50,46,5,7,4,41,0.00,0.00,1.0000,3.59,0.99,0.00,-4.29,2.75,5.39
5311,705,0.30,19.50,46,5,7,4,41,0.00,0.00,1.0000,3.55,0.99,0.00,-4.29,2.75,5.34
5390,710,0.32,19.00,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.29,2.75,5.30
5483,713,0.32,19.00,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.29,2.75,5.29
5530,716,0.32,19.00,46,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.29,2.75,5.24
5640,722,0.31,18.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.29,2.75,5.19
5717,732,0.31,17.00,48,5,7,4,41,0.00,0.00,1.0000,3.69,0.99,0.00,-4.29,2.75,5.21
5796,740,0.30,16.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.29,2.75,5.23
5875,752,0.31,15.50,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.29,2.75,5.24
5952,763,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.29,2.75,5.29
6014,771,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.29,2.75,5.34
6108,776,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.29,2.75,5.34
6186,778,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.29,2.75,5.39
6265,775,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.92,0.99,0.00,-4.29,2.75,5.40
6358,776,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.97,0.99,0.00,-4.29,2.75,5.42
6436,777,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.29,2.75,5.43
6515,778,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.92,0.99,0.00,-4.29,2.75,5.44
6593,782,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.29,2.75,5.44
6671,780,0.28,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.29,2.75,5.44
6749,783,0.29,12.50,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.29,2.75,5.48
6812,778,0.30,13.00,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.29,2.75,5.46
6905,780,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.92,0.99,0.00,-4.29,2.75,5.46
6983,777,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.29,2.75,5.45
7062,778,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.29,2.75,5.45
7140,777,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.29,2.75,5.44
7233,780,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.29,2.75,5.44
7296,778,0.29,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.29,2.75,5.44
7390,780,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.29,2.75,5.44
7468,780,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.69,0.99,0.00,-4.29,2.75,5.44
7546,776,0.28,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.59,0.99,0.00,-4.29,2.75,5.45
7624,777,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.29,2.75,5.47
7687,770,0.27,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.29,2.75,5.48
7780,764,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.74,0.99,0.00,-4.29,2.75,5.47
7843,762,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.29,2.75,5.46
7936,759,0.30,15.50,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.29,2.75,5.44
8017,756,0.30,15.50,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.29,2.75,5.43
8093,759,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.29,2.75,5.42
8154,760,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.29,2.75,5.42
8264,764,0.29,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.67,0.99,0.00,-4.29,2.75,5.42
8327,762,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.29,2.75,5.41
8421,761,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.29,2.75,5.43
8500,763,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.74,0.99,0.00,-4.29,2.75,5.45
8577,766,0.29,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.29,2.75,5.45
8655,762,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.29,2.75,5.45
8734,764,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.29,2.75,5.45
8796,764,0.29,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.29,2.75,5.45
8890,770,0.29,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.74,0.99,0.00,-4.29,2.75,5.45
8968,771,0.29,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.69,0.99,0.00,-4.29,2.75,5.45
9046,766,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.29,2.75,5.45
9124,764,0.28,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.60,0.99,0.00,-4.29,2.75,5.45
9217,768,0.29,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.65,0.99,0.00,-4.29,2.75,5.45
9281,768,0.29,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.64,0.99,0.00,-4.29,2.75,5.46
9374,771,0.29,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.69,0.99,0.00,-4.29,2.75,5.46
9437,765,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.74,0.99,0.00,-4.29,2.75,5.47
9530,761,0.29,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.62,0.99,0.00,-4.29,2.75,5.47
9608,758,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.74,0.99,0.00,-4.29,2.75,5.45
9671,761,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.27,2.75,5.45
9765,754,0.30,15.50,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.27,2.75,5.45
9843,756,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.27,2.75,5.45
9920,758,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.27,2.75,5.44
10000,755,0.29,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.64,0.99,0.00,-4.27,2.75,5.43
10077,756,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.27,2.75,5.41
10171,760,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.41
10249,761,0.31,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.27,2.75,5.40
10328,770,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.40
10405,768,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.27,2.75,5.41
10484,772,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.69,0.99,0.00,-4.27,2.75,5.43
10561,770,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.27,2.75,5.43
10640,770,0.31,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.95,0.99,0.00,-4.27,2.75,5.44
10718,771,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.95,0.99,0.00,-4.27,2.75,5.45
10796,773,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.27,2.75,5.45
10874,770,0.28,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.69,0.99,0.00,-4.27,2.75,5.45
10952,774,0.29,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.27,2.75,5.45
11030,770,0.29,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.27,2.75,5.45
11108,768,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.74,0.99,0.00,-4.27,2.75,5.47
11187,759,0.31,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.27,2.75,5.46
11280,753,0.31,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.27,2.75,5.46
11358,747,0.31,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.44
11437,747,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.27,2.75,5.41
11515,746,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.27,2.75,5.41
11577,747,0.30,15.50,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.27,2.75,5.36
11655,749,0.29,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.27,2.75,5.36
11749,757,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.27,2.75,5.36
11827,764,0.33,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.27,2.75,5.37
11905,767,0.32,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.41
11999,767,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.41
12077,762,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.41
12140,760,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.27,2.75,5.41
12234,764,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.42
12312,762,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.41
12390,765,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.41
12468,768,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.92,0.99,0.00,-4.27,2.75,5.41
12546,771,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.27,3.14,5.42
12608,775,0.30,13.00,48,5,7,4,41,0.00,0.00,1.0000,3.92,0.99,0.00,-4.27,3.14,5.41
12717,785,0.31,13.00,48,5,7,4,41,0.00,0.00,1.0000,4.02,0.99,0.00,-4.27,3.14,5.41
12764,778,0.31,13.50,48,5,7,4,41,0.00,0.00,1.0000,4.02,0.99,0.00,-4.27,3.14,5.41
12874,776,0.31,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.95,0.99,0.00,-4.27,3.14,5.41
12953,776,0.31,14.00,48,5,7,4,41,0.00,0.00,1.0000,4.07,0.99,0.00,-4.27,3.14,5.41
13030,778,0.31,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.27,2.75,5.41
13108,782,0.29,13.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.41
13187,788,0.31,13.00,48,5,7,4,41,0.00,0.00,1.0000,4.00,0.99,0.00,-4.27,2.75,5.41
13264,796,0.30,12.50,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.27,2.75,5.42
13342,796,0.30,12.50,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.27,3.14,5.45
13404,792,0.30,13.00,48,5,7,4,41,0.00,0.00,1.0000,3.92,0.99,0.00,-4.27,2.75,5.46
13515,790,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.27,2.75,5.46
13593,784,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.46
13671,782,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.27,2.75,5.46
13749,780,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.46
13827,778,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.44
13906,758,0.29,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.27,2.75,5.43
13983,757,0.31,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.27,2.75,5.41
14061,754,0.30,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.41
14139,754,0.31,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.90,0.99,0.00,-4.27,2.75,5.37
14217,752,0.30,15.50,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.37
14296,750,0.31,15.50,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.37
14374,752,0.32,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.95,0.99,0.00,-4.27,2.75,5.37
14452,756,0.31,15.00,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.27,2.75,5.35
14546,760,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.27,2.75,5.37
14624,767,0.29,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.27,2.75,5.37
14702,772,0.29,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.74,0.99,0.00,-4.27,2.75,5.38
14781,770,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.27,2.75,5.40
14843,769,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.41
14936,764,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.27,2.75,5.41
15015,756,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.27,2.75,5.41
15093,758,0.33,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.40
15171,764,0.32,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.72,0.99,0.00,-4.27,2.75,5.40
15233,766,0.32,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.40
15328,772,0.29,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.27,2.75,5.41
15421,775,0.30,13.00,48,5,7,4,41,0.00,0.00,1.0000,3.92,0.99,0.00,-4.27,2.75,5.41
15499,772,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.95,0.99,0.00,-4.27,2.75,5.41
15600,771,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.90,0.99,0.00,-4.27,2.75,5.44
15639,768,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.27,2.75,5.44
15733,760,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.84,0.99,0.00,-4.27,2.75,5.41
15812,758,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.41
15890,761,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.40
15967,760,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.27,2.75,5.42
16046,761,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.74,0.99,0.00,-4.27,2.75,5.42
16124,768,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.25,3.14,5.42
16233,764,0.31,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.95,0.99,0.00,-4.25,2.75,5.42
16296,757,0.31,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.92,0.99,0.00,-4.25,2.75,5.41
16374,756,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.25,2.75,5.39
16452,760,0.31,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.92,0.99,0.00,-4.25,2.75,5.37
16530,762,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.87,0.99,0.00,-4.25,2.75,5.37
16609,769,0.29,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.79,0.99,0.00,-4.25,2.75,5.41
16654,781,0.29,13.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.25,2.75,5.42
16768,784,0.29,13.00,48,5,7,4,41,0.00,0.00,1.0000,3.77,0.99,0.00,-4.25,3.14,5.42
16843,783,0.29,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.25,2.75,5.43
16905,778,0.30,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.95,0.99,0.00,-4.25,3.14,5.43
17014,768,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.25,3.14,5.43
17077,764,0.31,15.00,48,5,7,4,41,0.00,0.00,1.0000,4.00,0.99,0.00,-4.25,3.14,5.41
17155,767,0.31,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.89,0.99,0.00,-4.25,3.14,5.37
17234,769,0.30,14.50,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.25,3.14,5.37
17364,774,0.29,14.00,48,5,7,4,41,0.00,0.00,1.0000,3.74,0.99,0.00,-4.25,3.14,5.37
17405,778,0.30,13.50,48,5,7,4,41,0.00,0.00,1.0000,3.82,0.99,0.00,-4.25,3.14,5.37
